,star_name,distance,mass,radius,gravity
40,2MASS J04151954−0935066,18.6,5.6960265960000004e+28,571131.909576,417252.71652349894
41,2MASS J04285096-2253227 [de],85,5.6960265960000004e+28,571131.909576,417252.71652349894
42,2MASS J04351612-1606574,34,5.6960265960000004e+28,571131.909576,417252.71652349894
43,2MASS J04362788-4114465,142,5.6960265960000004e+28,571131.909576,417252.71652349894
44,2MASS J04390101-2353083 [de],29.5,5.6960265960000004e+28,571131.909576,417252.71652349894
45,2MASS J04433764+0002040,82,5.6960265960000004e+28,571131.909576,417252.71652349894
46,2MASS J04455387-3048204 [de],42,5.6960265960000004e+28,571131.909576,417252.71652349894
47,2MASS J04510093-3402150 [de],69,5.6960265960000004e+28,571131.909576,417252.71652349894
48,2MASS J05002100+0330501 [de],44,5.6960265960000004e+28,571131.909576,417252.71652349894
49,2MASS J05012406-0010452 [de],64,5.6960265960000004e+28,571131.909576,417252.71652349894
50,2MASS J05160945-0445499 [de],73,5.6960265960000004e+28,571131.909576,417252.71652349894
51,2MASS J0523−1403,40,5.6960265960000004e+28,571131.909576,417252.71652349894
52,SDSS J053951.99-005902.0,41.62,5.6960265960000004e+28,571131.909576,417252.71652349894
53,LSR 0602+3910 [de],34.6,5.6960265960000004e+28,571131.909576,417252.71652349894
54,2MASS J06085283-2753583,102,5.6960265960000004e+28,571131.909576,417252.71652349894
55,2MASS J06244595-4521548 [de],39,5.6960265960000004e+28,571131.909576,417252.71652349894
56,2MASS J06411840-4322329 [de],65,5.6960265960000004e+28,571131.909576,417252.71652349894
57,DENIS-P J0652197-253450 [de],51,5.6960265960000004e+28,571131.909576,417252.71652349894
58,2MASS J07075327-4900503,60,5.6960265960000004e+28,571131.909576,417252.71652349894
59,UGPS J072227.51-054031.2,13.4,5.6960265960000004e+28,571131.909576,417252.71652349894
60,2MASSI J0727182+171001 [de],29.6,5.6960265960000004e+28,571131.909576,417252.71652349894
61,2MASS J07290002-3954043 [de],25.8,5.6960265960000004e+28,571131.909576,417252.71652349894
62,SDSS J074201.41+205520.5 [de],49,5.6960265960000004e+28,571131.909576,417252.71652349894
63,DENIS-P J0751164-253043 [de],55,5.6960265960000004e+28,571131.909576,417252.71652349894
64,2MASS J07522390+1612157,60,5.6960265960000004e+28,571131.909576,417252.71652349894
65,DENIS J081730.0-615520,16.1,5.6960265960000004e+28,571131.909576,417252.71652349894
66,2MASS J08251968+2115521 [de],35,5.6960265960000004e+28,571131.909576,417252.71652349894
67,SDSSp J083008.12+482847.4 [de],43,5.6960265960000004e+28,571131.909576,417252.71652349894
68,LHS 2021,55,5.6960265960000004e+28,571131.909576,417252.71652349894
69,SDSS J083048.80+012831.1 [de],77,5.6960265960000004e+28,571131.909576,417252.71652349894
70,2MASSI J0835425-081923 [de],23.53,5.6960265960000004e+28,571131.909576,417252.71652349894
71,2MASSI J0847287-153237 [de],43,5.6960265960000004e+28,571131.909576,417252.71652349894
72,2MASS J08533619-0329321,27.6,5.6960265960000004e+28,571131.909576,417252.71652349894
73,2MASSI J0859254-194926 [de],50,5.6960265960000004e+28,571131.909576,417252.71652349894
74,2MASSI J0937347+293142,20.0,5.6960265960000004e+28,571131.909576,417252.71652349894
75,2MASS 0939−2448,17.4,5.6960265960000004e+28,571131.909576,417252.71652349894
76,2MASS J09490860-1545485 [de],59,5.6960265960000004e+28,571131.909576,417252.71652349894
77,2MASS J10073369-4555147,46,5.6960265960000004e+28,571131.909576,417252.71652349894
78,2MASSI J1010148-040649 [de],55,5.6960265960000004e+28,571131.909576,417252.71652349894
79,2MASS J10224821+5825453 [de],60,5.6960265960000004e+28,571131.909576,417252.71652349894
80,2MASSW J1036530-344138 [de],53,5.6960265960000004e+28,571131.909576,417252.71652349894
81,2MASS J1047538+212423 [de],34.4,5.6960265960000004e+28,571131.909576,417252.71652349894
82,DEN 1048-3956,13.15,5.6960265960000004e+28,571131.909576,417252.71652349894
83,Luhman 16B,6.516,5.6960265960000004e+28,571131.909576,417252.71652349894
84,Luhman 16A,6.516,5.6960265960000004e+28,571131.909576,417252.71652349894
85,DENIS-P J1058.7−1548,49,5.6960265960000004e+28,571131.909576,417252.71652349894
86,TWA 28,180,5.6960265960000004e+28,571131.909576,417252.71652349894
87,Cha 110913-773444,163,5.6960265960000004e+28,571131.909576,417252.71652349894
88,SDSS J111010.01+011613.1,63,5.6960265960000004e+28,571131.909576,417252.71652349894
89,2MASS J11145133−2618235,18.2,5.6960265960000004e+28,571131.909576,417252.71652349894
90,TWA 26,137,5.6960265960000004e+28,571131.909576,417252.71652349894
91,2MASS J11544223-3400390 [de],129,5.6960265960000004e+28,571131.909576,417252.71652349894
92,2MASSW J1155395-372735 [de],31,5.6960265960000004e+28,571131.909576,417252.71652349894
93,2MASS J12074836-3900043,217,5.6960265960000004e+28,571131.909576,417252.71652349894
94,2MASSI J1217110-031113 [de],36,5.6960265960000004e+28,571131.909576,417252.71652349894
95,2M 1237+6526,45.6,5.6960265960000004e+28,571131.909576,417252.71652349894
96,TWA 29,262,5.6960265960000004e+28,571131.909576,417252.71652349894
97,SDSSp J125453.90-012247.4 [de],38,5.6960265960000004e+28,571131.909576,417252.71652349894
98,Kelu-1A,61,5.6960265960000004e+28,571131.909576,417252.71652349894
99,Kelu-1B,61,5.6960265960000004e+28,571131.909576,417252.71652349894
100,2MASS J13204427+0409045,101,5.6960265960000004e+28,571131.909576,417252.71652349894
101,SDSSp J132629.82-003831.5 [de],65,5.6960265960000004e+28,571131.909576,417252.71652349894
102,SDSSp J134646.45-003150.4 [de],48,5.6960265960000004e+28,571131.909576,417252.71652349894
103,2MASS J13595510-4034582,51,5.6960265960000004e+28,571131.909576,417252.71652349894
104,ULAS J141623.94+134836.3,29.7,5.6960265960000004e+28,571131.909576,417252.71652349894
105,SDSS J141659.78+500626.4 [de],149,5.6960265960000004e+28,571131.909576,417252.71652349894
106,DENIS-P J142527.97-365023.4 [de],38,5.6960265960000004e+28,571131.909576,417252.71652349894
107,LHS 2924,38.5,5.6960265960000004e+28,571131.909576,417252.71652349894
108,2MASS J14392837+1929150,47,5.6960265960000004e+28,571131.909576,417252.71652349894
109,LSPM J1440+1339,72,5.6960265960000004e+28,571131.909576,417252.71652349894
110,2MASS J14482563+1031590 [de],47,5.6960265960000004e+28,571131.909576,417252.71652349894
111,CFBDSIR 1458+10A,104,5.6960265960000004e+28,571131.909576,417252.71652349894
112,CFBDSIR 1458+10B,104,5.6960265960000004e+28,571131.909576,417252.71652349894
113,TVLM 513-46546,35.1,5.6960265960000004e+28,571131.909576,417252.71652349894
114,2MASS 1503+2525,20.7,5.6960265960000004e+28,571131.909576,417252.71652349894
115,CFBDS J150411+102717,71,5.6960265960000004e+28,571131.909576,417252.71652349894
116,2MASSW J1506544+132106 [de],46,5.6960265960000004e+28,571131.909576,417252.71652349894
117,2MASS 1507−1627,23.9,5.6960265960000004e+28,571131.909576,417252.71652349894
118,TVLM 868-110639,53,5.6960265960000004e+28,571131.909576,417252.71652349894
119,2MASSW J1515008+484742 [de],34,5.6960265960000004e+28,571131.909576,417252.71652349894
120,2MASSI J1526140+204341 [de],67,5.6960265960000004e+28,571131.909576,417252.71652349894
121,DENIS-P J153941.96-052042.4 [de],51,5.6960265960000004e+28,571131.909576,417252.71652349894
122,2MASS J15462718-3325111 [de],37,5.6960265960000004e+28,571131.909576,417252.71652349894
123,2MASSW J1552591+294849 [de],68,5.6960265960000004e+28,571131.909576,417252.71652349894
124,2MASSW J1555157-095605 [de],44,5.6960265960000004e+28,571131.909576,417252.71652349894
125,2MASS J16150413+1340079 [de],48,5.6960265960000004e+28,571131.909576,417252.71652349894
126,SDSSp J162414.37+002915.6 [de],36,5.6960265960000004e+28,571131.909576,417252.71652349894
127,2MASS J16262034+3925190 [de],110,5.6960265960000004e+28,571131.909576,417252.71652349894
128,2MASSW J1632291+190441 [de],50,5.6960265960000004e+28,571131.909576,417252.71652349894
129,WISEPA J164715.59+563208.2,28,5.6960265960000004e+28,571131.909576,417252.71652349894
130,LSPM J1658+7027 [de],60,5.6960265960000004e+28,571131.909576,417252.71652349894
131,2MASSI J1726000+153819,114,5.6960265960000004e+28,571131.909576,417252.71652349894
132,SDSSp J175032.96+175903.9,90,5.6960265960000004e+28,571131.909576,417252.71652349894
133,2MASS J18283572-4849046,39,5.6960265960000004e+28,571131.909576,417252.71652349894
134,LSR J1835+3259,18.5,5.6960265960000004e+28,571131.909576,417252.71652349894
135,2MASSW J1841086+311727,138,5.6960265960000004e+28,571131.909576,417252.71652349894
136,2MASS J18432213+4040209,46,5.6960265960000004e+28,571131.909576,417252.71652349894
137,2MASS J20004841-7523070,105,5.6960265960000004e+28,571131.909576,417252.71652349894
138,SDSS J204749.61-071818.3,65,5.6960265960000004e+28,571131.909576,417252.71652349894
139,2MASSI J2057540-025230,47,5.6960265960000004e+28,571131.909576,417252.71652349894
140,2MASSI J2104149-103736,62,5.6960265960000004e+28,571131.909576,417252.71652349894
141,PSO J318.5−22,80,5.6960265960000004e+28,571131.909576,417252.71652349894
142,HB 2124-4228,113,5.6960265960000004e+28,571131.909576,417252.71652349894
143,2MASS J21392676+0220226,32.1,5.6960265960000004e+28,571131.909576,417252.71652349894
144,2MASS J21481628+4003593,26.3,5.6960265960000004e+28,571131.909576,417252.71652349894
145,2MASSW J2206450-421721,93,5.6960265960000004e+28,571131.909576,417252.71652349894
146,2MASSW J2208136+292121,154,5.6960265960000004e+28,571131.909576,417252.71652349894
147,2MASSW J2224438-015852,38,5.6960265960000004e+28,571131.909576,417252.71652349894
148,2MASS J22282889-4310262,35,5.6960265960000004e+28,571131.909576,417252.71652349894
149,2MASS J22373255+3922398,64,5.6960265960000004e+28,571131.909576,417252.71652349894
150,2MASSW J2244316+204343,56,5.6960265960000004e+28,571131.909576,417252.71652349894
151,2MASS J23224684-3133231,56,5.6960265960000004e+28,571131.909576,417252.71652349894
152,2MASS J23225299-6151275,148,5.6960265960000004e+28,571131.909576,417252.71652349894
153,2MASS J23515044-2537367,67,5.6960265960000004e+28,571131.909576,417252.71652349894
154,2MASSI J2356547-155310,74,5.6960265960000004e+28,571131.909576,417252.71652349894
155,WISE 0410+1502,20,5.6960265960000004e+28,571131.909576,417252.71652349894
156,WISE 0458+6434A,35.9,5.6960265960000004e+28,571131.909576,417252.71652349894
157,WISE 0458+6434B,35.9,5.6960265960000004e+28,571131.909576,417252.71652349894
158,WISE 1405+5534,25.3,5.6960265960000004e+28,571131.909576,417252.71652349894
